StoreCode,Name,Year,Month,Day,DayName,Week,Traffic,Customers,Sales,Average Ticket,Salespeople,Sales per Salesperson,Tickets per Salesperson,Products per Ticket,Average Price,Salespeople Working Same Time
17,Antofagasta,2014,11,17,Lunes,46,0,282,14332582,51,13,1102506,21.69,1.74,29250,9.44
17,Antofagasta,2014,11,18,Martes,46,0,224,13214869,59,14,943919,16,1.79,32873,10.19
17,Antofagasta,2014,11,19,Miércoles,46,0,227,12079202,53,15,805280,15.13,1.82,29177,10.94
17,Antofagasta,2014,11,20,Jueves,46,0,283,18355136,65,16,1147196,17.69,2.05,31592,11.69
17,Antofagasta,2014,11,21,Viernes,46,0,292,13989895,48,15,932660,19.47,2.09,22934,10.94
17,Antofagasta,2014,11,22,Sábado,46,0,372,20276280,55,14,1448306,26.57,2.09,26029,10.5
17,Antofagasta,2014,11,23,Domingo,46,0,171,7836941,46,8,979618,21.38,1.91,23966,5.96
17,Antofagasta,2014,11,24,Lunes,47,0,314,18519360,59,11,1683578,28.55,2.62,22530,8.25
17,Antofagasta,2014,11,25,Martes,47,0,247,14012638,57,14,1000903,17.64,1.99,28481,10.19
17,Antofagasta,2014,11,26,Miércoles,47,0,230,11722424,51,16,732652,14.38,1.89,26948,11.69
17,Antofagasta,2014,11,27,Jueves,47,0,251,14804882,59,14,1057492,17.93,1.86,31634,10.19
17,Antofagasta,2014,11,28,Viernes,47,0,384,23148532,60,14,1653467,27.43,1.88,32151,10.19
17,Antofagasta,2014,11,29,Sábado,47,0,367,18979580,52,11,1725416,33.36,1.74,29795,7.94
17,Antofagasta,2014,11,30,Domingo,47,0,226,14949344,66,5,2989869,45.2,1.76,37561,3.71
17,Antofagasta,2014,12,1,Lunes,48,0,403,24279863,60,13,1867682,31,2.05,29430,9.4
17,Antofagasta,2014,12,2,Martes,48,0,347,20436963,59,13,1572074,26.69,1.78,33070,9.35
17,Antofagasta,2014,12,3,Miércoles,48,0,342,21179049,62,14,1512789,24.43,2.25,27470,10.1
17,Antofagasta,2014,12,4,Jueves,48,0,337,21316087,63,13,1639699,25.92,1.75,36129,9.35
17,Antofagasta,2014,12,5,Viernes,48,0,461,31985332,69,12,2665444,38.42,1.97,35226,8.6
17,Antofagasta,2014,12,6,Sábado,48,0,433,24131868,56,10,2413187,43.3,1.88,29573,7.38
17,Antofagasta,2014,12,7,Domingo,48,0,275,18496513,67,7,2642359,39.29,1.93,34768,4.98
17,Antofagasta,2014,12,8,Lunes,49,0,386,21914353,57,10,2191435,38.6,2.12,26757,7.35
17,Antofagasta,2014,12,9,Martes,49,0,435,29135825,67,11,2648711,39.55,2.01,33260,7.83
17,Antofagasta,2014,12,10,Miércoles,49,0,415,29522652,71,13,2270973,31.92,2,35484,9.31
17,Antofagasta,2014,12,11,Jueves,49,0,452,25715554,57,13,1978120,34.77,1.68,33881,9.33
17,Antofagasta,2014,12,12,Viernes,49,0,411,23543650,57,13,1811050,31.62,1.95,29393,9.36
17,Antofagasta,2014,12,13,Sábado,49,0,534,32660836,61,14,2332917,38.14,1.78,34452,10.14
17,Antofagasta,2014,12,14,Domingo,49,0,308,20228803,66,9,2247645,34.22,1.78,36847,6.72
17,Antofagasta,2014,12,15,Lunes,50,0,522,31780284,61,10,3178029,52.2,1.7,35789,7.16
17,Antofagasta,2014,12,16,Martes,50,0,553,29869761,54,12,2489147,46.08,1.84,29284,8.62
17,Antofagasta,2014,12,17,Miércoles,50,3584,566,29966803,53,12,2497234,47.17,1.95,27095,8.6
17,Antofagasta,2014,12,18,Jueves,50,6565,538,29109727,54,14,2079266,38.43,1.77,30545,10.1
17,Antofagasta,2014,12,19,Viernes,50,7114,629,31784156,51,15,2118944,41.93,1.82,27783,10.84
17,Antofagasta,2014,12,20,Sábado,50,8163,795,47504789,60,12,3958732,66.25,1.8,33197,8.92
17,Antofagasta,2014,12,21,Domingo,50,6107,524,30857403,59,6,5142901,87.33,1.77,33323,4.48
17,Antofagasta,2014,12,22,Lunes,51,8832,770,39590268,51,10,3959027,77,1.62,31647,7.44
17,Antofagasta,2014,12,23,Martes,51,9719,995,53492378,54,15,3566159,66.33,1.73,31010,10.84
17,Antofagasta,2014,12,24,Miércoles,51,7376,874,42415375,49,15,2827692,58.27,1.73,27997,10.56
17,Antofagasta,2014,12,25,Jueves,51,0,0,0,0,0,0,0,0,0,0
17,Antofagasta,2014,12,26,Viernes,51,4530,256,10038423,39,15,669228,17.07,1.59,24725,10.85
